"month","channel","active_users","churned_users","total_revenue","arpu","churn_rate","cac","ltv","payback_period"
2024-11-01,ads,94,9,1706252.00,18151.62,0.0957,4828.50,189672.10,0.27
2024-11-01,event,92,14,1428640.00,15528.70,0.1522,1137.29,102028.25,0.07
2024-11-01,organic,107,19,2076784.00,19409.20,0.1776,284.61,109286.04,0.01
2024-11-01,other,97,14,1859997.00,19175.23,0.1443,1826.56,132884.48,0.10
2024-11-01,partner,85,12,1576263.00,18544.27,0.1412,6791.60,131333.36,0.37
2024-12-01,ads,98,27,2038256.00,20798.53,0.2755,4677.75,75493.76,0.22
2024-12-01,event,96,27,1793899.00,18686.45,0.2813,2411.33,66428.90,0.13
2024-12-01,organic,114,44,2630553.00,23075.03,0.3860,1179.90,59779.87,0.05
2024-12-01,other,103,31,2262842.00,21969.34,0.3010,3058.40,72987.84,0.14
2024-12-01,partner,89,20,2008701.00,22569.67,0.2247,5502.00,100443.57,0.24
