"subscription_id","account_id","start_date","end_date","is_active","plan_tier","billing_frequency","seats","mrr_amount","arr_amount","is_trial","upgrade_flag","downgrade_flag","churn_flag","signup_date","country","industry","channel"
S-fa5301,A-ba6516,2024-03-14,,1,Pro,monthly,55,0,0,true,false,false,false,2023-10-29,US,FinTech,ads
S-69937b,A-08e34e,2024-08-08,,1,Pro,annual,14,686,8232,false,false,false,false,2024-06-27,US,EdTech,event
S-f2537d,A-e43bf7,2024-01-24,,1,Pro,monthly,44,2156,25872,false,false,false,false,2023-03-24,AU,Cybersecurity,other
S-27f7b2,A-a1b80b,2024-04-03,,1,Basic,annual,38,722,8664,false,false,false,false,2023-11-27,US,HealthTech,organic
S-9c2b8e,A-443f6f,2024-12-26,,1,Basic,annual,19,361,4332,false,true,false,false,2024-12-07,US,Cybersecurity,organic
S-a4f26d,A-32728c,2023-05-21,,1,Pro,monthly,20,980,11760,false,false,false,false,2023-01-03,US,DevTools,event
S-0cb6ed,A-ac85cd,2024-11-09,2024-12-18,0,Pro,annual,53,2597,31164,false,false,false,true,2024-07-31,US,EdTech,partner
S-367dee,A-e19ff6,2024-06-29,,1,Pro,annual,1,49,588,false,false,false,false,2023-07-28,UK,Cybersecurity,partner
S-3b9ad8,A-6e08f3,2024-12-24,,1,Enterprise,monthly,28,5572,66864,false,false,false,false,2023-02-27,US,Cybersecurity,event
S-c9f8c1,A-544d0a,2024-07-23,,1,Enterprise,monthly,5,995,11940,false,false,true,false,2024-05-02,US,DevTools,organic
S-57cd05,A-8b0451,2024-10-26,,1,Basic,annual,41,779,9348,false,false,false,false,2024-09-16,UK,FinTech,event
S-e505c1,A-8ae3fc,2024-09-17,,1,Pro,annual,34,1666,19992,false,false,false,false,2024-06-28,CA,DevTools,ads
S-121b4d,A-8ae3fc,2024-11-22,,1,Basic,annual,9,171,2052,false,false,false,false,2024-06-28,CA,DevTools,ads
S-72b4f2,A-4437e4,2024-02-06,,1,Pro,annual,49,2401,28812,false,false,false,false,2023-09-16,US,Cybersecurity,event
S-c9b0cc,A-4d1e75,2024-10-11,,1,Enterprise,monthly,38,7562,90744,false,false,false,false,2024-08-21,US,DevTools,other
S-27c993,A-098560,2024-11-17,,1,Enterprise,monthly,4,796,9552,false,false,false,false,2023-10-21,UK,DevTools,ads
S-8b9889,A-ac9111,2024-08-18,,1,Pro,monthly,21,1029,12348,false,false,false,false,2023-08-12,US,HealthTech,event
S-2214c6,A-3c1a3f,2024-10-07,,1,Pro,monthly,82,4018,48216,false,false,false,false,2023-08-26,UK,DevTools,event
S-ce695e,A-cb6cc6,2024-05-25,,1,Enterprise,annual,13,0,0,true,false,false,false,2023-04-03,US,DevTools,ads
S-066d80,A-9b9fe9,2024-08-17,,1,Pro,monthly,5,245,2940,false,false,false,false,2023-09-28,AU,EdTech,other
S-228457,A-029f69,2024-05-24,,1,Enterprise,annual,24,4776,57312,false,false,false,false,2024-03-07,CA,Cybersecurity,event
S-e50612,A-c7e58b,2024-07-15,,1,Basic,annual,13,247,2964,false,false,false,false,2023-06-25,IN,HealthTech,other
S-64fba3,A-00bed1,2024-07-16,,1,Enterprise,annual,28,5572,66864,false,false,false,false,2023-11-14,US,Cybersecurity,ads
S-2372d2,A-cea1f0,2024-12-22,,1,Enterprise,annual,21,4179,50148,false,false,false,false,2024-04-07,US,FinTech,event
S-2661dc,A-c37cab,2024-08-07,,1,Pro,monthly,20,0,0,true,false,false,false,2024-07-29,UK,Cybersecurity,event
S-427275,A-4c38bc,2024-07-14,,1,Enterprise,annual,36,7164,85968,false,false,false,false,2024-03-09,UK,HealthTech,event
S-628729,A-157070,2024-10-05,,1,Enterprise,monthly,23,4577,54924,false,false,true,false,2023-11-09,US,FinTech,ads
S-e260ff,A-bcf87c,2024-12-09,,1,Enterprise,annual,21,4179,50148,false,false,false,false,2024-06-27,US,FinTech,event
S-89c03a,A-8ae3fc,2024-09-20,,1,Pro,monthly,9,441,5292,false,false,false,false,2024-06-28,CA,DevTools,ads
S-86455a,A-1b9609,2023-12-01,,1,Pro,monthly,12,588,7056,false,false,false,false,2023-10-12,IN,EdTech,ads
S-3660bb,A-474ad4,2024-12-14,,1,Enterprise,monthly,10,0,0,true,false,false,false,2023-11-28,US,EdTech,organic
S-6bf7d7,A-9bfc9f,2024-03-23,,1,Pro,annual,53,2597,31164,false,false,true,false,2023-09-14,CA,DevTools,ads
S-feccd8,A-812c5b,2024-12-22,,1,Enterprise,monthly,55,10945,131340,false,false,false,false,2024-02-25,CA,DevTools,organic
S-0e4b0c,A-39b19f,2023-02-28,2023-06-15,0,Pro,annual,24,1176,14112,false,false,true,true,2023-02-03,US,FinTech,partner
S-0e0578,A-de58ca,2023-07-09,,1,Basic,monthly,15,285,3420,false,false,false,false,2023-04-13,DE,HealthTech,organic
S-74538d,A-e60f9d,2024-11-13,,1,Pro,annual,46,2254,27048,false,false,false,false,2024-08-26,US,FinTech,other
S-c2a6cb,A-9affe6,2023-10-19,,1,Enterprise,annual,7,1393,16716,false,true,false,false,2023-03-22,US,Cybersecurity,other
S-1bd2ec,A-e60f9d,2024-12-25,2024-12-28,0,Basic,annual,38,722,8664,false,false,false,true,2024-08-26,US,FinTech,other
S-3cc352,A-d27f50,2024-08-06,,1,Pro,monthly,44,2156,25872,false,false,false,false,2024-07-20,UK,Cybersecurity,ads
S-124207,A-fdfc91,2023-08-31,,1,Basic,annual,29,551,6612,false,false,false,false,2023-05-06,US,Cybersecurity,ads
S-76e7d9,A-712f1c,2024-02-09,,1,Enterprise,monthly,44,8756,105072,false,false,false,false,2023-12-16,US,DevTools,ads
S-44f453,A-19b2c8,2024-02-10,,1,Enterprise,monthly,20,3980,47760,false,false,false,false,2023-06-06,IN,DevTools,other
S-03a97f,A-f51f16,2024-03-15,,1,Pro,annual,60,2940,35280,false,false,false,false,2023-12-25,US,HealthTech,partner
S-80c01c,A-d3c88e,2024-12-16,,1,Basic,annual,16,304,3648,false,true,false,false,2024-10-18,US,DevTools,event
S-666181,A-eb1312,2024-10-09,,1,Basic,annual,71,1349,16188,false,false,false,false,2024-09-16,US,FinTech,partner
S-401496,A-68f37c,2023-08-13,2024-06-22,0,Enterprise,monthly,4,796,9552,false,true,false,true,2023-07-15,US,HealthTech,ads
S-ca0c98,A-fda07f,2024-11-28,,1,Pro,monthly,7,343,4116,false,false,false,false,2024-08-11,FR,Cybersecurity,partner
S-017e33,A-f9cc74,2024-11-08,2024-11-25,0,Basic,monthly,53,1007,12084,false,false,false,true,2024-10-12,FR,DevTools,partner
S-183073,A-e7a1e2,2024-07-19,,1,Enterprise,monthly,14,2786,33432,false,false,false,false,2024-06-23,US,Cybersecurity,event
S-22f503,A-7a0d69,2024-09-06,,1,Basic,annual,6,114,1368,false,false,false,false,2024-06-15,DE,DevTools,ads
S-7de1b7,A-4d1e75,2024-10-27,,1,Enterprise,annual,20,3980,47760,false,false,false,false,2024-08-21,US,DevTools,other
S-c7f564,A-902ef7,2024-11-23,,1,Pro,annual,83,0,0,true,true,false,false,2024-09-03,US,HealthTech,other
S-ceffe9,A-89ee83,2024-11-23,,1,Enterprise,monthly,2,398,4776,false,false,false,false,2024-10-04,US,Cybersecurity,organic
S-9b2c95,A-e60f9d,2024-11-24,2024-12-05,0,Pro,annual,29,0,0,true,false,false,true,2024-08-26,US,FinTech,other
S-cf6ec1,A-d77f4c,2024-08-04,,1,Enterprise,monthly,22,4378,52536,false,true,false,false,2023-09-25,US,DevTools,partner
S-a44d72,A-b30291,2024-06-12,,1,Pro,monthly,18,882,10584,false,false,false,false,2024-04-05,US,HealthTech,event
S-0b0ffa,A-180abf,2024-01-17,2024-04-19,0,Basic,annual,64,0,0,true,false,false,true,2023-08-14,US,DevTools,event
S-02af5d,A-d82ef9,2024-08-07,,1,Enterprise,annual,26,0,0,true,false,false,false,2024-07-02,UK,EdTech,other
S-d07c53,A-249769,2024-09-24,,1,Basic,annual,21,399,4788,false,false,false,false,2024-04-25,US,Cybersecurity,event
S-c67b80,A-eb2fdc,2024-02-24,,1,Pro,monthly,31,1519,18228,false,false,false,false,2023-11-21,AU,DevTools,organic
S-5d68fb,A-5f2961,2024-12-02,,1,Pro,annual,49,2401,28812,false,false,false,false,2024-11-22,US,HealthTech,partner
S-fc9cc3,A-9b9fe9,2024-01-01,,1,Pro,annual,24,1176,14112,false,false,false,false,2023-09-28,AU,EdTech,other
S-17f71d,A-e40f45,2024-05-15,,1,Pro,monthly,44,2156,25872,false,true,false,false,2024-04-18,US,HealthTech,organic
S-5895f0,A-bcf664,2023-10-05,,1,Basic,annual,8,0,0,true,false,false,false,2023-05-19,US,DevTools,other
S-b042d9,A-0e966d,2024-11-15,,1,Enterprise,annual,11,2189,26268,false,false,false,false,2024-06-25,IN,FinTech,ads
S-ffd1ee,A-f03140,2024-11-06,,1,Pro,annual,27,0,0,true,false,false,false,2023-11-22,IN,DevTools,event
S-9c4bcd,A-a7bd4b,2024-05-14,,1,Pro,monthly,5,245,2940,false,true,false,false,2023-02-15,US,Cybersecurity,ads
S-4f91d0,A-7f8241,2024-10-12,,1,Basic,monthly,34,646,7752,false,false,false,false,2023-03-14,US,EdTech,organic
S-672f1b,A-eafc6e,2023-08-08,,1,Pro,monthly,27,1323,15876,false,false,false,false,2023-07-06,US,DevTools,partner
S-101201,A-d49cc5,2024-02-13,,1,Basic,annual,50,950,11400,false,false,false,false,2023-09-19,FR,Cybersecurity,event
S-eea643,A-54ecc2,2024-10-30,,1,Enterprise,monthly,28,5572,66864,false,false,false,false,2023-06-11,US,Cybersecurity,partner
S-5f9a67,A-6da850,2023-12-04,,1,Pro,annual,5,245,2940,false,false,false,false,2023-10-07,IN,FinTech,organic
S-327e7c,A-4e960a,2024-02-07,,1,Enterprise,annual,17,0,0,true,false,false,false,2024-01-17,US,FinTech,other
S-d97c5f,A-533452,2024-11-25,,1,Pro,monthly,101,4949,59388,false,false,false,false,2024-11-12,AU,DevTools,organic
S-029c20,A-f44180,2024-12-13,,1,Basic,annual,10,0,0,true,false,false,false,2023-02-13,UK,Cybersecurity,event
S-a74462,A-7c83a1,2024-05-14,,1,Pro,annual,48,2352,28224,false,false,false,false,2024-05-06,US,Cybersecurity,partner
S-02ec76,A-e60f9d,2024-09-17,,1,Pro,monthly,29,1421,17052,false,false,false,false,2024-08-26,US,FinTech,other
S-d1c9e3,A-075038,2024-01-09,,1,Basic,annual,17,323,3876,false,false,false,false,2023-05-12,UK,HealthTech,ads
S-51d8db,A-cc1d8d,2024-12-30,,1,Enterprise,annual,6,1194,14328,false,false,false,false,2024-12-08,US,FinTech,other
S-c3c85e,A-271f46,2024-10-31,,1,Basic,monthly,38,722,8664,false,false,false,false,2023-02-09,US,DevTools,event
S-44a646,A-1e1b80,2023-12-26,,1,Basic,annual,50,950,11400,false,false,false,false,2023-09-12,CA,FinTech,other
S-431c03,A-e4bf56,2024-12-02,2024-12-19,0,Enterprise,monthly,37,7363,88356,false,false,false,true,2024-10-28,IN,HealthTech,ads
S-4f0027,A-ff79f2,2024-12-31,2024-12-31,0,Enterprise,annual,19,3781,45372,false,false,false,true,2024-04-25,US,DevTools,ads
S-6c9ee1,A-6da850,2024-02-20,,1,Enterprise,monthly,23,0,0,true,false,false,false,2023-10-07,IN,FinTech,organic
S-396a84,A-5b4ebb,2024-10-23,2024-11-27,0,Basic,monthly,21,399,4788,false,false,false,true,2024-07-10,UK,Cybersecurity,other
S-6bea24,A-3f9cc0,2024-07-06,,1,Basic,monthly,22,0,0,true,false,false,false,2024-06-03,US,HealthTech,event
S-259804,A-d4ac0e,2024-10-01,,1,Basic,annual,28,532,6384,false,false,false,false,2024-04-20,UK,DevTools,ads
S-33e40e,A-86cdb4,2024-10-10,2024-12-29,0,Enterprise,annual,2,398,4776,false,false,false,true,2024-09-22,DE,DevTools,partner
S-fbd522,A-310452,2024-12-28,,1,Pro,annual,9,0,0,true,false,false,false,2024-12-25,FR,DevTools,other
S-bbafad,A-854864,2024-12-27,2024-12-30,0,Basic,annual,20,380,4560,false,false,false,true,2024-12-07,IN,FinTech,event
S-3edc14,A-d82ef9,2024-10-04,,1,Pro,annual,26,0,0,true,false,false,false,2024-07-02,UK,EdTech,other
S-11e29d,A-71615e,2024-10-13,,1,Basic,monthly,32,608,7296,false,false,false,false,2024-05-18,US,EdTech,organic
S-1feff8,A-5fe118,2024-12-06,,1,Enterprise,annual,39,7761,93132,false,false,false,false,2024-11-07,US,Cybersecurity,other
S-61e86c,A-39ddf4,2024-12-07,,1,Enterprise,annual,40,7960,95520,false,false,false,false,2024-12-05,US,EdTech,partner
S-af41f0,A-e83938,2024-06-27,,1,Basic,annual,2,38,456,false,false,false,false,2023-11-21,UK,DevTools,other
S-65ae02,A-671f31,2024-12-14,,1,Pro,annual,59,2891,34692,false,false,false,false,2024-11-24,US,DevTools,ads
S-f7fccd,A-443b7c,2024-11-18,,1,Basic,annual,6,0,0,true,true,false,false,2024-09-06,US,Cybersecurity,other
S-7904d3,A-d4e0d4,2024-11-30,2024-12-03,0,Enterprise,monthly,117,23283,279396,false,false,false,true,2024-10-18,US,FinTech,other
S-48a54e,A-b2225d,2024-10-29,,1,Basic,monthly,47,0,0,true,false,false,false,2024-03-08,US,FinTech,ads
S-4a08bd,A-e08cd3,2024-10-11,,1,Pro,annual,67,3283,39396,false,false,false,false,2024-09-21,US,FinTech,ads
S-faa8ec,A-2e4581,2024-12-09,,1,Basic,monthly,11,209,2508,false,false,false,false,2024-10-16,US,EdTech,partner
S-8db104,A-4a267b,2024-10-18,,1,Pro,monthly,25,1225,14700,false,false,true,false,2024-05-05,US,FinTech,other
S-3c0121,A-7c83a1,2024-12-30,,1,Pro,monthly,24,1176,14112,false,false,false,false,2024-05-06,US,Cybersecurity,partner
S-13ca37,A-6843f2,2024-12-21,,1,Pro,monthly,21,0,0,true,false,true,false,2024-12-10,CA,HealthTech,ads
S-163e64,A-dfbd31,2024-11-08,,1,Enterprise,monthly,62,12338,148056,false,false,false,false,2023-12-04,UK,DevTools,partner
S-4d1ba6,A-00cac8,2024-04-04,,1,Enterprise,annual,9,0,0,true,false,false,false,2023-09-15,AU,HealthTech,organic
S-e98d6b,A-309e54,2024-12-31,,1,Basic,annual,15,285,3420,false,false,false,false,2024-12-09,US,DevTools,other
S-041624,A-6843f2,2024-12-12,,1,Enterprise,monthly,21,4179,50148,false,false,false,false,2024-12-10,CA,HealthTech,ads
S-b78829,A-2e4581,2024-11-12,,1,Pro,monthly,20,980,11760,false,false,false,false,2024-10-16,US,EdTech,partner
S-ca1c21,A-f92792,2024-12-02,,1,Basic,annual,9,0,0,true,false,false,false,2024-07-04,US,FinTech,ads
S-e1de58,A-ce550d,2024-10-28,,1,Enterprise,annual,35,6965,83580,false,true,false,false,2024-10-27,US,HealthTech,event
S-721fea,A-f6b2fb,2024-05-23,,1,Pro,monthly,23,1127,13524,false,false,true,false,2024-04-23,AU,DevTools,event
S-eaac58,A-ff3c73,2023-04-08,,1,Basic,annual,66,1254,15048,false,false,false,false,2023-01-26,AU,HealthTech,other
S-1218fd,A-2d4502,2024-11-02,,1,Basic,monthly,14,266,3192,false,true,false,false,2024-04-29,IN,FinTech,event
S-936732,A-2f6a32,2024-11-28,2024-12-06,0,Pro,annual,19,931,11172,false,false,false,true,2024-08-26,US,HealthTech,organic
S-c2f293,A-69b156,2024-12-10,2024-12-30,0,Basic,monthly,8,152,1824,false,false,false,true,2023-11-21,US,EdTech,other
S-fe3b71,A-44dc83,2024-09-24,,1,Enterprise,monthly,37,0,0,true,false,false,false,2024-05-12,FR,EdTech,other
S-f5f5b3,A-89ee83,2024-12-26,2024-12-29,0,Basic,annual,10,190,2280,false,false,false,true,2024-10-04,US,Cybersecurity,organic
S-4afb53,A-40de06,2023-12-12,2024-12-29,0,Enterprise,monthly,28,5572,66864,false,false,false,true,2023-05-08,US,Cybersecurity,event
S-851bbe,A-d77f4c,2024-04-22,,1,Enterprise,annual,94,18706,224472,false,true,false,false,2023-09-25,US,DevTools,partner
