date,channel,spend,signup_date,new_users,cac
2023-08-01,organic,2256.9,2023-08-01,1.0,2256.9
2023-08-01,event,12332.0,2023-08-01,4.0,3083.0
2023-08-01,ads,15360.0,2023-08-01,3.0,5120.0
2023-09-01,partner,15057.599999999999,2023-09-01,4.0,3764.3999999999996
2023-09-01,other,11144.800000000001,2023-09-01,5.0,2228.96
2023-09-01,organic,2041.1999999999998,2023-09-01,7.0,291.59999999999997
2023-09-01,event,6337.0,2023-09-01,3.0,2112.3333333333335
2023-09-01,ads,12600.0,2023-09-01,4.0,3150.0
2023-10-01,partner,12692.4,2023-10-01,5.0,2538.48
2023-10-01,other,12085.6,2023-10-01,4.0,3021.4
2023-10-01,organic,2193.2999999999997,2023-10-01,3.0,731.0999999999999
2023-10-01,event,8390.0,2023-10-01,3.0,2796.6666666666665
2023-10-01,ads,10398.0,2023-10-01,5.0,2079.6
2023-11-01,partner,17256.0,2023-11-01,1.0,17256.0
2023-11-01,other,6576.0,2023-11-01,5.0,1315.2
2023-11-01,organic,2236.2,2023-11-01,7.0,319.45714285714286
2023-11-01,event,17457.0,2023-11-01,7.0,2493.8571428571427
2023-11-01,ads,18345.0,2023-11-01,5.0,3669.0
2023-12-01,partner,13366.8,2023-12-01,8.0,1670.85
2023-12-01,other,4287.2,2023-12-01,3.0,1429.0666666666666
2023-12-01,organic,4397.4,2023-12-01,2.0,2198.7
2023-12-01,event,15924.0,2023-12-01,3.0,5308.0
2023-12-01,ads,19249.5,2023-12-01,4.0,4812.375
2024-01-01,partner,10407.6,2024-01-01,5.0,2081.52
2024-01-01,other,10028.0,2024-01-01,4.0,2507.0
2024-01-01,organic,2886.6,2024-01-01,2.0,1443.3
2024-01-01,event,16951.0,2024-01-01,2.0,8475.5
2024-01-01,ads,15286.5,2024-01-01,3.0,5095.5
2024-02-01,partner,22076.399999999998,,0.0,
2024-02-01,other,5083.200000000001,2024-02-01,1.0,5083.200000000001
2024-02-01,organic,1904.6999999999998,2024-02-01,6.0,317.45
2024-02-01,event,5806.0,2024-02-01,2.0,2903.0
2024-02-01,ads,25135.5,2024-02-01,4.0,6283.875
2024-03-01,partner,18090.0,2024-03-01,3.0,6030.0
2024-03-01,other,7064.8,2024-03-01,9.0,784.9777777777778
2024-03-01,organic,5366.4,2024-03-01,5.0,1073.28
2024-03-01,event,6691.0,2024-03-01,5.0,1338.2
2024-03-01,ads,26122.5,2024-03-01,5.0,5224.5
2024-04-01,partner,6500.4,2024-04-01,2.0,3250.2
2024-04-01,other,7948.0,2024-04-01,3.0,2649.3333333333335
2024-04-01,organic,1561.8,2024-04-01,5.0,312.36
2024-04-01,event,5919.0,2024-04-01,5.0,1183.8
2024-04-01,ads,19602.0,2024-04-01,7.0,2800.285714285714
2024-05-01,partner,14422.8,2024-05-01,5.0,2884.56
2024-05-01,other,11105.6,2024-05-01,6.0,1850.9333333333334
2024-05-01,organic,4109.7,2024-05-01,10.0,410.96999999999997
2024-05-01,event,7553.0,2024-05-01,1.0,7553.0
2024-05-01,ads,21744.0,,0.0,
2024-06-01,partner,7711.2,2024-06-01,1.0,7711.2
2024-06-01,other,10465.6,2024-06-01,1.0,10465.6
2024-06-01,organic,5973.3,2024-06-01,1.0,5973.3
2024-06-01,event,15823.0,2024-06-01,7.0,2260.4285714285716
2024-06-01,ads,18606.0,2024-06-01,11.0,1691.4545454545455
2024-07-01,partner,19359.6,2024-07-01,6.0,3226.6
2024-07-01,other,8421.6,2024-07-01,6.0,1403.6000000000001
2024-07-01,organic,1663.2,2024-07-01,6.0,277.2
2024-07-01,event,13003.0,2024-07-01,3.0,4334.333333333333
2024-07-01,ads,16294.5,2024-07-01,5.0,3258.9
2024-08-01,partner,13903.199999999999,2024-08-01,3.0,4634.4
2024-08-01,other,4832.8,2024-08-01,5.0,966.5600000000001
2024-08-01,organic,5162.7,2024-08-01,7.0,737.5285714285714
2024-08-01,event,7258.0,2024-08-01,4.0,1814.5
2024-08-01,ads,23749.5,2024-08-01,2.0,11874.75
2024-09-01,partner,8514.0,2024-09-01,6.0,1419.0
2024-09-01,other,9348.800000000001,2024-09-01,4.0,2337.2000000000003
2024-09-01,organic,5169.599999999999,2024-09-01,5.0,1033.9199999999998
2024-09-01,event,16995.0,2024-09-01,6.0,2832.5
2024-09-01,ads,16023.0,2024-09-01,4.0,4005.75
2024-10-01,partner,10525.199999999999,2024-10-01,6.0,1754.1999999999998
2024-10-01,other,5476.0,2024-10-01,8.0,684.5
2024-10-01,organic,2399.7,2024-10-01,7.0,342.8142857142857
2024-10-01,event,13751.0,2024-10-01,7.0,1964.4285714285713
2024-10-01,ads,23883.0,2024-10-01,3.0,7961.0
2024-11-01,partner,20374.8,2024-11-01,3.0,6791.599999999999
2024-11-01,other,9132.800000000001,2024-11-01,5.0,1826.5600000000002
2024-11-01,organic,3699.8999999999996,2024-11-01,13.0,284.6076923076923
2024-11-01,event,7961.0,2024-11-01,7.0,1137.2857142857142
2024-11-01,ads,19314.0,2024-11-01,4.0,4828.5
2024-12-01,partner,22008.0,2024-12-01,4.0,5502.0
2024-12-01,other,12233.6,2024-12-01,4.0,3058.4
2024-12-01,organic,4719.599999999999,2024-12-01,4.0,1179.8999999999999
2024-12-01,event,7234.0,2024-12-01,3.0,2411.3333333333335
2024-12-01,ads,9355.5,2024-12-01,2.0,4677.75
